id,tstat,meanDenom,logr_Case_1,logr_Case_2,logr_Case_3,logr_Ctrl_1,logr_Ctrl_2,logr_Ctrl_3,numer_Case_1,numer_Case_2,numer_Case_3,numer_Ctrl_1,numer_Ctrl_2,numer_Ctrl_3
id1,-0.489557836496131,75.5,5.24031432933371,-0.108776345917332,2.24848165020511,3.1632303488683,6.01197264166608,1.56768450928932,755,165,650,214,967,248
id2,1.59529854565729,85.8333333333333,3.3880553959246,5.61369421926447,3.88239603368777,3.55195539483284,4.51657552574091,4.81636033012184,1182,2839,1459,820,617,4338
id3,-2.33613703724231,126.5,-1.69211135838195,1.31633263199384,2.03184886603934,0.455194625750827,5.00749453654692,8.0463799352823,146,385,228,84,192,2907
id4,-0.252732805992515,86,0.872764811703893,5.50014106765526,2.23967041276828,8.62388149001346,-4.58496250072116,3.51677279039437,140,1221,391,788,4,2437
id5,-1.44361724320018,153.5,1.49536506422636,-0.440088871334211,3.57568468713315,5.66666784069036,1.06324243399182,4.65870395418204,436,156,154,3250,885,1464
id6,0.543347841309627,81.6666666666667,11.4998458870832,3.08253475775349,0.488618631659952,3.0383281186591,4.64186489195563,3.87360600389645,2895,1168,180,533,2171,1113
id7,-1.04166022993416,145.5,2.7817992692202,3.4262647547021,2.75869911611349,3.33460192492247,-0.200912693925996,2.03412578390463,1230,386,1136,1028,260,384
id8,0.435675810166919,110.333333333333,2.06825752840356,3.55799545312089,5.21543966069468,2.56220025063728,-2.96523458183932,2.07735888270624,540,741,482,1068,20,497
id9,-0.22864103030812,82.8333333333333,3.21738131855296,4.69240239907567,1.00939869800225,4.0614676327174,5.84516834394318,5.42138620210363,957,2326,307,934,2241,2656
id10,0.0965183923354821,52.5,0.701658725430254,7.26209484537018,2.26258573687018,6.3532242253769,2.40439025507934,6.72280753116955,147,920,642,4659,89,1689
id11,0.169677706903961,97.3333333333333,3.77051815387723,0.771221136003891,5.86400922454358,-2.26303440583379,4.19483034320513,3.60880924267552,1391,482,4076,9,1226,243
id12,5.13423816705214,46.1666666666667,4.48807640558419,4.17525844574535,5.07784941654393,5.0698840941125,3.81326519267866,3.27301849440642,762,812,1046,2283,1222,173
